	Accelerations
0	0
1	-1
2	-1
3	0
4	-3
5	-1
6	-1
7	0
8	0
9	0
10	0
11	-2
12	-3
13	0
14	-1
15	0
16	-1
17	0
18	-1
19	-2
20	-1
21	0
22	-1
23	-2
24	0
25	5
26	-8
27	-8
28	-9
29	-9
30	-8
31	-8
32	-10
33	-8
34	-7
35	-7
36	-8
37	6
38	5
39	4
40	6
41	7
42	6
43	5
44	2
45	4
46	7
47	6
48	-20
49	-18
50	1
51	0
52	-13
53	-6
54	3
55	10
56	-16
57	-10
58	-20
59	-1
60	-16
61	-3
62	-6
63	-13
64	3
65	14
66	1
67	-15
68	-17
69	0
70	-5
71	-7
72	-14
73	3
74	-11
75	-18
76	13
77	19
78	-14
79	-20
80	-6
81	16
82	-1
83	-12
84	2
85	-13
86	6
87	1
88	-3
89	-2
90	-13
91	1
92	-6
93	-9
94	-7
95	-18
96	-9
97	-7
98	3
99	0
100	8
101	16
102	0
103	-9
104	-10
105	-9
106	-8
107	-11
108	-1
109	0
110	-2
111	15
112	-3
113	-2
114	1
115	3
116	-7
117	1
118	-2
119	-1
120	-2
121	1
122	18
123	-4
124	-7
125	14
126	-6
127	13
128	14
129	13
130	0
131	17
132	-8
133	19
134	-6
135	16
136	-20
137	7
138	10
139	11
140	6
141	9
142	7
143	9
144	-9
145	7
146	11
147	10
148	9
149	9
150	11
151	-16
152	7
153	8
154	8
155	-3
156	-10
157	7
158	7
159	8
160	8
161	6
162	7
163	10
164	6
165	2
166	4
167	8
168	1
169	-7
170	6
171	7
172	-2
173	6
174	7
175	-4
176	7
177	4
178	7
179	6
180	6
181	9
182	7
183	9
184	6
185	5
186	7
187	7
188	6
189	7
190	6
191	5
192	7
193	10
194	6
195	4
196	4
197	4
198	4
199	7
200	9
201	8
202	8
203	8
204	10
205	8
206	9
207	10
208	8
209	10
210	9
211	6
212	-19
213	6
214	6
215	-16
216	-7
217	-2
218	17
219	11
220	2
221	5
222	-7
223	5
224	-2
225	4
226	0
227	0
228	-18
229	-15
230	4
231	9
232	-17
233	2
234	-17
235	-5
236	-2
237	-14
238	2
239	4
240	0
241	-20
242	-13
243	3
244	4
245	-10
246	14
247	-4
248	-5
249	9
250	-12
251	-18
252	-16
253	5
254	2
255	2
256	11
257	3
258	13
259	-12
260	2
261	5
262	2
263	3
264	4
265	1
266	2
267	-19
268	12
269	1
270	0
271	1
272	-10
273	18
274	2
275	2
276	1
277	0
278	-1
279	2
280	0
281	2
282	3
283	1
284	0
285	11
286	2
287	1
288	1
289	2
290	2
291	2
292	2
293	2
294	1
295	-1
296	1
297	-1
298	10
299	12
300	0
301	1
302	2
303	0
304	9
305	1
306	11
307	0
308	-1
309	2
310	2
311	18
312	0
313	-1
314	-2
315	12
316	0
317	0
318	15
319	-1
320	12
321	3
322	0
323	2
324	-1
325	10
326	11
327	9
328	1
329	-1
330	15
331	11
332	0
333	-1
334	-4
335	14
336	13
337	5
338	4
339	17
340	12
341	9
342	4
343	8
344	0
345	1
346	6
347	1
348	2
349	2
350	-15
351	2
352	0
353	0
354	1
355	3
356	8
357	4
358	0
359	7
360	0
361	8
362	6
363	0
364	7
365	8
366	1
367	2
368	0
369	2
370	2
371	4
372	4
373	10
374	9
375	8
376	9
377	10
378	0
379	9
380	0
381	9
382	8
383	10
384	9
385	0
386	9
387	7
388	9
389	11
390	11
391	10
392	10
393	12
394	11
395	13
396	1
397	2
398	10
399	1
400	0
401	2
402	2
403	0
404	3
405	9
406	0
407	0
408	-5
409	-15
410	6
411	6
412	0
413	-3
414	-13
415	1
416	-1
417	2
418	1
419	1
420	-1
421	1
422	4
423	0
424	-4
425	11
426	0
427	0
428	1
429	1
430	11
431	7
432	18
433	18
434	2
435	-1
436	-5
437	12
438	2
439	13
440	19
441	-17
442	1
443	1
444	-2
445	3
446	19
447	6
448	11
449	13
450	0
451	4
452	2
453	19
454	16
455	12
456	15
457	18
458	16
459	7
460	16
461	7
462	17
463	10
464	-3
465	3
466	15
467	0
468	-5
469	5
470	-4
471	-1
472	-1
473	14
474	1
475	5
476	-3
477	2
478	-3
479	-1
480	11
481	7
482	0
483	-4
484	14
485	1
486	-5
487	14
488	18
489	-4
490	11
491	8
492	3
493	4
494	14
495	7
496	3
497	-2
498	9
499	2
500	3
501	4
502	-4
503	11
504	8
505	2
506	5
507	9
508	3
509	-3
510	-8
511	14
512	18
513	0
514	-3
515	10
516	0
517	1
518	-1
519	1
520	-3
521	8
522	1
523	10
524	1
525	7
526	10
527	15
528	0
529	0
530	1
531	-1
532	1
533	0
534	3
535	0
536	1
537	0
538	1
539	3
540	6
541	1
542	1
543	0
544	1
545	17
546	0
547	0
548	3
549	15
550	4
551	2
552	18
553	-1
554	3
555	5
556	12
557	-1
558	3
559	0
560	1
561	1
562	10
563	1
564	0
565	2
566	0
567	5
568	3
569	2
570	0
571	-1
572	1
573	15
574	6
575	3
576	1
577	2
578	0
579	2
580	2
581	3
582	-1
583	4
584	0
585	1
586	15
587	3
588	0
589	2
590	2
591	2
592	0
593	2
594	2
595	2
596	10
597	-1
598	0
599	6
600	0
601	-9
602	16
603	-1
604	3
605	4
606	-3
607	11
608	9
609	-3
610	1
611	12
612	14
613	-3
614	1
615	2
616	3
617	19
618	2
619	0
620	0
621	-3
622	2
623	8
624	2
625	12
626	3
627	5
628	-1
629	3
630	1
631	12
632	-2
633	-7
634	-2
635	8
636	0
637	5
638	9
639	1
640	-2
641	6
642	11
643	-1
644	1
645	2
646	2
647	2
648	13
649	0
650	2
651	2
652	0
653	15
654	-8
655	-7
656	-17
657	-5
658	-1
659	-2
660	3
661	0
662	19
663	-6
664	-3
665	4
666	4
667	0
668	8
669	-20
670	4
671	-2
672	19
673	2
674	-5
675	12
676	17
677	2
678	-4
679	11
680	10
681	13
682	0
683	-5
684	-1
685	8
686	-2
687	6
688	10
689	0
690	-7
691	15
692	3
693	11
694	0
695	11
696	0
697	-1
698	-1
699	-4
700	8
701	9
702	4
703	9
704	14
705	13
706	-2
707	7
708	6
709	10
710	5
711	-2
712	8
713	7
714	-4
715	-3
716	15
717	0
718	-3
719	15
720	3
721	2
722	-3
723	18
724	17
725	5
726	18
727	9
728	-2
729	3
730	9
731	18
732	-2
733	3
734	9
735	12
736	0
737	-1
738	2
739	4
740	6
741	3
742	4
743	0
744	0
745	2
746	-1
747	1
748	13
749	-1
750	8
751	3
752	0
753	4
754	1
755	-6
756	-5
757	7
758	15
759	-8
760	12
761	4
762	4
763	4
764	-4
765	-2
766	9
767	6
768	2
769	-15
770	2
771	1
772	3
773	5
774	3
775	-15
776	16
777	1
778	1
779	2
780	0
781	1
782	10
783	-9
784	-12
785	1
786	12
787	3
788	13
789	-2
790	-5
791	10
792	6
793	8
794	3
795	-9
796	2
797	-16
798	-12
799	3
800	-14
801	-4
802	10
803	19
804	-4
805	7
806	-5
807	-4
808	3
809	19
810	8
811	15
812	4
813	11
814	16
815	4
816	15
817	5
818	9
819	15
820	0
821	12
822	2
823	6
824	0
825	7
826	-5
827	-2
828	-4
829	-5
830	7
831	1
832	9
833	1
834	2
835	8
836	0
837	5
838	12
839	3
840	8
841	-1
842	-8
843	11
844	10
845	8
846	15
847	13
848	-6
849	-1
850	-3
851	1
852	1
853	1
854	1
855	-5
856	14
857	9
858	0
859	2
860	5
861	0
862	-2
863	4
864	9
865	8
866	5
867	1
868	6
869	0
870	16
871	15
872	1
873	13
874	-1
875	5
876	2
877	-1
878	10
879	5
880	5
881	-1
882	3
883	0
884	9
885	2
886	0
887	0
888	-2
889	4
890	1
891	-1
892	1
893	13
894	5
895	0
896	0
897	1
898	7
899	0
900	-2
901	-2
902	7
903	4
904	17
905	1
906	11
907	17
908	7
909	9
910	-2
911	2
912	4
913	3
914	-3
915	7
916	0
917	-2
918	1
919	4
920	-5
921	8
922	-4
923	4
924	7
925	0
926	-3
927	2
928	5
929	-7
930	17
931	11
932	17
933	5
934	13
935	-3
936	15
937	0
938	-3
939	8
940	2
941	1
942	-5
943	18
944	18
945	-2
946	-1
947	3
948	1
949	-3
950	4
951	7
952	-2
953	9
954	0
955	-2
956	4
957	1
958	1
959	1
960	13
961	-1
962	1
963	-3
964	6
965	5
966	13
967	-1
968	2
969	4
970	2
971	-2
972	12
973	-3
974	9
975	15
976	13
977	-1
978	1
979	0
980	-5
981	15
982	-1
983	4
984	-1
985	1
986	1
987	4
988	0
989	4
990	6
991	2
992	-1
993	2
994	6
995	1
996	0
997	15
998	1
999	16
