	Accelerations
0	0
1	0
2	0
3	-1
4	-3
5	0
6	0
7	0
8	0
9	-1
10	0
11	-1
12	0
13	0
14	-1
15	-1
16	0
17	0
18	0
19	0
20	0
21	-2
22	0
23	-1
24	-2
25	5
26	-7
27	-9
28	-7
29	-10
30	-11
31	-8
32	-9
33	-8
34	-7
35	-8
36	-7
37	5
38	4
39	5
40	5
41	5
42	3
43	5
44	2
45	5
46	5
47	3
48	-14
49	-19
50	-1
51	-12
52	1
53	-10
54	5
55	-12
56	0
57	-10
58	0
59	-17
60	3
61	-17
62	-14
63	-1
64	-19
65	-7
66	6
67	-15
68	2
69	-17
70	-15
71	-8
72	-9
73	-16
74	-9
75	0
76	-17
77	-14
78	0
79	-18
80	-16
81	-10
82	18
83	2
84	-14
85	-1
86	-10
87	15
88	16
89	18
90	16
91	18
92	-14
93	-13
94	-10
95	17
96	-9
97	12
98	15
99	14
100	12
101	14
102	15
103	15
104	12
105	12
106	16
107	16
108	13
109	16
110	14
111	15
112	13
113	14
114	13
115	-15
116	-11
117	14
118	-17
119	12
120	-6
121	8
122	-11
123	15
124	-11
125	7
126	-10
127	4
128	0
129	6
130	12
131	12
132	10
133	5
134	-7
135	9
136	-9
137	8
138	-12
139	8
140	0
141	7
142	-11
143	6
144	8
145	5
146	-17
147	5
148	8
149	11
150	7
151	11
152	-12
153	8
154	7
155	14
156	15
157	3
158	6
159	7
160	6
161	4
162	6
163	5
164	6
165	4
166	4
167	6
168	10
169	-4
170	-8
171	7
172	2
173	-14
174	-11
175	10
176	4
177	6
178	1
179	-3
180	4
181	5
182	4
183	2
184	-11
185	-12
186	-10
187	6
188	7
189	7
190	5
191	8
192	8
193	7
194	6
195	3
196	2
197	4
198	2
199	7
200	6
201	4
202	5
203	5
204	4
205	4
206	4
207	4
208	7
209	10
210	5
211	13
212	-8
213	-15
214	-11
215	-17
216	-2
217	-1
218	15
219	4
220	-8
221	-3
222	9
223	5
224	7
225	-11
226	-10
227	-14
228	-13
229	-10
230	10
231	13
232	-8
233	-2
234	-2
235	10
236	4
237	12
238	-12
239	-9
240	-10
241	-16
242	-12
243	12
244	15
245	-11
246	4
247	-11
248	-12
249	9
250	9
251	-13
252	7
253	11
254	6
255	5
256	10
257	-8
258	9
259	-11
260	5
261	-12
262	6
263	3
264	-1
265	5
266	3
267	-13
268	13
269	6
270	7
271	5
272	-6
273	-9
274	6
275	5
276	-6
277	6
278	4
279	8
280	6
281	2
282	6
283	5
284	0
285	4
286	1
287	5
288	0
289	5
290	7
291	13
292	6
293	6
294	13
295	-14
296	6
297	6
298	-2
299	4
300	4
301	8
302	-3
303	10
304	6
305	8
306	7
307	5
308	9
309	12
310	6
311	7
312	3
313	7
314	-7
315	-11
316	1
317	-8
318	6
319	6
320	-12
321	-11
322	-12
323	7
324	5
325	-17
326	-5
327	10
328	-11
329	-3
330	5
331	4
332	1
333	1
334	-9
335	6
336	1
337	-10
338	7
339	6
340	3
341	9
342	11
343	10
344	3
345	-11
346	6
347	4
348	4
349	5
350	9
351	8
352	9
353	7
354	9
355	11
356	10
357	10
358	9
359	4
360	9
361	4
362	10
363	10
364	7
365	15
366	5
367	5
368	10
369	9
370	11
371	9
372	11
373	16
374	15
375	11
376	11
377	12
378	7
379	11
380	12
381	13
382	13
383	12
384	12
385	15
386	10
387	11
388	10
389	15
390	15
391	13
392	8
393	9
394	10
395	17
396	4
397	4
398	6
399	8
400	5
401	9
402	7
403	6
404	7
405	11
406	10
407	11
408	-3
409	-20
410	7
411	5
412	7
413	-3
414	-8
415	-3
416	3
417	2
418	-11
419	-14
420	4
421	5
422	6
423	4
424	6
425	4
426	6
427	5
428	5
429	5
430	-12
431	17
432	12
433	-13
434	-1
435	4
436	1
437	13
438	3
439	5
440	3
441	-17
442	3
443	2
444	-18
445	-3
446	5
447	8
448	11
449	12
450	17
451	4
452	13
453	-18
454	7
455	-7
456	-14
457	3
458	-5
459	3
460	16
461	1
462	2
463	-17
464	-6
465	-8
466	15
467	-17
468	-11
469	11
470	-2
471	1
472	2
473	0
474	2
475	-10
476	-10
477	-17
478	-5
479	-12
480	-16
481	7
482	-4
483	-17
484	11
485	0
486	-1
487	3
488	10
489	-2
490	8
491	8
492	5
